name,doresal/ventral,anterior/posterior,left/right,sex,sub/family,genus,species,subspecies,name,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4
JM02.0378,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0378-v_Ant_g,1115047.0,834.1205,924.0,54.8185,241448931998.0,142479983409194.0,9.13313554958399e+16,0.50361,0.54511,0.57897
JM02.0382,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-d_Ant_d,1098648.0,818.2069,910.0,27.1554,228568587536.0,132124182597570.0,8.29225688124476e+16,0.5012300000000001,0.54242,0.57599
JM02.0382,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-d_Ant_g,1083691.0,816.3997,915.0,-4.9808,227129165048.0,131579990354628.0,8.28046909975143e+16,0.50034,0.54118,0.5746
JM02.0382,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-v_Ant_d,1084433.0,816.5202,914.0,-5.3439,226761821391.0,131281950136969.0,8.25694740452001e+16,0.50031,0.5412399999999999,0.57472
JM02.0382,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0382-v_Ant_g,1098017.0,817.0824,909.0,30.2584,227318502305.0,131123044515085.0,8.21198828214868e+16,0.50055,0.54174,0.5753
JM02.0383,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0383-d_Ant_d,1249472.0,883.4195,967.0,47.8768,296210518560.0,183757242360510.0,1.23843151780068e+17,0.50351,0.54586,0.58024
JM02.0383,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0383-d_Ant_g,1244779.0,883.043,961.0,-13.7574,295730025925.0,183570226145629.0,1.23777995833297e+17,0.5072,0.54977,0.58434
JM02.0383,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0383-v_Ant_d,1245712.0,882.9877,960.0,9.5715,295593047126.0,183409846875114.0,1.23622086469764e+17,0.50742,0.55004,0.58465
JM02.0383,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0383-v_Ant_g,1248895.0,883.2218,964.0,45.6865,296240640686.0,183797114368842.0,1.23883775940704e+17,0.50522,0.5476800000000001,0.58216
JM02.0414,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0414-d_Ant_d,919294.0,769.5098,846.0,3.7505,167541744417.0,90775761344099.0,5.33666174329453e+16,0.50462,0.54635,0.58021
JM02.0414,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0414-d_Ant_g,920699.0,760.7735,839.0,28.2456,164607488287.0,88222280672331.0,5.12933067998313e+16,0.50397,0.5454100000000001,0.57906
JM02.0414,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0414-v_Ant_d,920806.0,760.9547,840.0,23.0297,164067775721.0,87840884767585.0,5.10214911935578e+16,0.50251,0.54396,0.5775899999999999
JM02.0414,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.0414-v_Ant_g,920613.0,769.1403,846.0,5.0996,168906543153.0,91691830611905.0,5.4000232167086e+16,0.50631,0.54792,0.5817100000000001
JM02.0674,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0674-d_Ant_d,1108776.0,837.5281,920.0,-19.4399,236146877535.0,138740609025099.0,8.84983834774441e+16,0.50163,0.54367,0.5777399999999999
JM02.0674,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0674-d_Ant_g,1117064.0,835.4348,916.0,13.8988,236446597688.0,138471556623862.0,8.80340584537418e+16,0.50226,0.54433,0.57843
JM02.0674,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0674-v_Ant_d,1116476.0,834.7827,914.0,17.3783,236704667984.0,138641618802524.0,8.81404703550489e+16,0.5037699999999999,0.54584,0.57994
JM02.0674,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0674-v_Ant_g,1108915.0,836.8517,919.0,-16.3349,236903849500.0,139267071207816.0,8.88700079025395e+16,0.50295,0.54492,0.57896
JM02.0675,d,Ant,d, ,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0675-d_Ant_d,1073927.0,797.21,862.0,-58.1349,202610726640.0,112587132174498.0,6.78971334549132e+16,0.50389,0.54701,0.58172
JM02.0675,d,Ant,g, ,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0675-d_Ant_g,1089652.0,826.2957,904.0,-64.5934,215127021734.0,123264386008270.0,7.69159412449871e+16,0.49151000000000006,0.53499,0.57018
