name,name.1,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4,max_axe_1_length
MJ02.0877-d_Ant_g,0877-d_Ant_g,1128908.0,837.3632,919.0,-32.4688,245465336335.0,144854092292613.0,9.25886233195486e+16,0.5074,0.54884,0.58232,1841.0
MJ02.0877-d_Post_g,0877-d_Post_g,714303.0,760.6564,759.0,-87.9398,121437799872.0,63820893154722.0,3.61160541737037e+16,0.54324,0.589,0.62476,1202.0
MJ02.0878-d_Ant_g,0878-d_Ant_g,1068891.0,817.9426,889.0,-40.0326,218620942040.0,125569392251592.0,7.81816603326631e+16,0.50872,0.55091,0.58498,1787.0
MJ02.0878-d_Post_g,0878-d_Post_g,694483.0,758.3667,761.0,-105.1232,117033728908.0,61272230433816.0,3.45528436547627e+16,0.53944,0.58499,0.62061,1161.0
MJ02.0899-d_Ant_g,0899-d_Ant_g,1014277.0,800.5324,869.0,-31.5792,197837888554.0,110969667367386.0,6.74377595192291e+16,0.50823,0.55038,0.58434,1723.0
MJ02.0899-d_Post_g,0899-d_Post_g,641417.0,733.9806,733.0,-67.9181,97890986993.0,49122322813045.0,2.65778001770222e+16,0.53296,0.57935,0.61552,1106.0
MJ02.0900-d_Ant_g,0900-d_Ant_g,1029113.0,792.8497,856.0,-60.4303,200021849610.0,111490409996172.0,6.71570673644141e+16,0.51503,0.55691,0.59045,1752.0
MJ02.0900-d_Post_d,0900-d_Post_d,679194.0,781.6401,789.0,8.7362,126731813469.0,69217430308419.0,4.06610913217109e+16,0.54748,0.59201,0.62693,1103.0
MJ02.0910-d_Ant_d,0910-d_Ant_d,1045544.0,789.0519,849.0,-71.8536,197026641031.0,108638992491941.0,6.47911095020363e+16,0.51131,0.55374,0.58767,1744.0
MJ02.0910-d_Post_d,0910-d_Post_d,713369.0,797.8409,806.0,9.4379,140589248112.0,78626486733666.0,4.725595399598e+16,0.55079,0.59486,0.62943,1133.0
MJ02.0911-d_Ant_g,0911-d_Ant_g,1062733.0,803.6791,886.0,-40.3541,208437993673.0,117493516636137.0,7.18882942628996e+16,0.49985,0.54171,0.57561,1812.0
MJ02.0911-d_Post_g,0911-d_Post_g,691729.0,751.1146,753.0,-96.1627,113146753781.0,58491775253345.0,3.25764071522167e+16,0.5371,0.5829,0.61865,1173.0
MJ02.0912-d_Ant_d,0912-d_Ant_d,1050717.0,826.4071,891.0,-56.7832,221118148046.0,128528281482934.0,8.08643539746099e+16,0.51486,0.55713,0.59114,1710.0
MJ02.0912-d_Post_d,0912-d_Post_d,734010.0,827.584,836.0,-129.1137,151317260587.0,87135478801731.0,5.40084188186139e+16,0.54311,0.58788,0.62299,1122.0
