name,sex,genotype,area,ellipse_axe_1_length,max_axe_1_length,deviation_max_axe_1_from_center,axe_1_moment_2,axe_1_moment_3,axe_1_moment_4,std_axe_1_moment_2,std_axe_1_moment_3,std_axe_1_moment_4
0928-d_Ant_d,F,s-s,1058401.0,1724.044,1780.0,75.5521,1202250710383.0,1537461564183020.0,2.08524206745504e+18,0.59876,0.63626,0.66559
0928-d_Post_d,F,s-s,668327.0,1151.8818,1127.0,71.7797,273631345054.0,219409366930900.0,1.88301697196136e+17,0.56776,0.61211,0.64646
0929-d_Ant_d,M,s-s,1119504.0,1785.7689,1807.0,56.3271,1256845687409.0,1622308563271980.0,2.22864076066111e+18,0.58637,0.62625,0.65735
0929-d_Post_d,M,s-s,736372.0,1194.8932,1178.0,84.9856,316016850748.0,260715828015942.0,2.30333013028969e+17,0.55611,0.60054,0.63485
0930-d_Ant_d,M,e-s,1140265.0,1807.1451,1834.0,127.7204,1329162183561.0,1742288380835140.0,2.42801780627203e+18,0.58869,0.62802,0.65866
0930-d_Post_d,M,e-s,773699.0,1185.667,1176.0,29.2992,354574096608.0,298048561663110.0,2.67981683492224e+17,0.57565,0.61873,0.65234
0931-d_Ant_d,F,a-s,1113288.0,1729.6438,1768.0,77.7292,1258815191997.0,1608881398518420.0,2.18182299842095e+18,0.60144,0.63947,0.66922
0931-d_Post_g,F,a-s,728345.0,1198.8292,1178.0,-107.5563,328210860653.0,276200366890997.0,2.49250620921283e+17,0.56985,0.61445,0.64928
0932-d_Ant_d,M,a-s,992810.0,1672.808,1689.0,97.8023,1002125516821.0,1220517698292200.0,1.58017274723908e+18,0.59484,0.63425,0.66501
0932-d_Post_g,M,a-s,690890.0,1132.3546,1110.0,4.4396,278666880890.0,221455210784826.0,1.88592817828992e+17,0.57216,0.61655,0.65119
0933-d_Ant_d,M,s-s,1144441.0,1804.4566,1846.0,71.156,1352692039877.0,1780882585143950.0,2.49247249102811e+18,0.58894,0.62774,0.65808
0933-d_Post_d,M,s-s,762004.0,1183.6889,1177.0,-21.1163,324994886642.0,267278364291892.0,2.35815529479216e+17,0.55486,0.59918,0.63369
0937-d_Ant_d,M,e-s,1128681.0,1784.2198,1832.0,121.8915,1320513280155.0,1725655098765830.0,2.39541014701769e+18,0.59042,0.62883,0.65884
0937-d_Post_g,M,e-s,743422.0,1156.5457,1152.0,6.9533,316945003464.0,258546227181792.0,2.26111909407598e+17,0.56679,0.61045,0.64464
0938-d_Ant_d,M,a-s,1044034.0,1712.0593,1752.0,76.2792,1119898060493.0,1402518404498890.0,1.86650760866602e+18,0.59115,0.62979,0.66
0938-d_Post_g,M,a-s,716830.0,1140.5596,1126.0,-8.8303,296142845223.0,237718797899475.0,2.04478132254745e+17,0.57083,0.61472,0.64904
0939-d_Ant_d,F,a-s,1082792.0,1685.3851,1731.0,89.4713,1167162636934.0,1453930501894430.0,1.92038019215384e+18,0.59979,0.63734,0.66667
0939-d_Post_g,F,a-s,689826.0,1168.4618,1157.0,36.574,302593184974.0,250026515160772.0,2.21387902883454e+17,0.57244,0.61624,0.65053
0953-d_Ant_d,F,e-s,1027377.0,1703.9601,1758.0,84.4075,1130942148609.0,1424201478514640.0,1.90170673815598e+18,0.59681,0.63425,0.66349
0953-d_Post_d,F,e-s,652802.0,1158.8103,1134.0,-16.7902,279497506135.0,228341643736751.0,1.99843963521637e+17,0.57701,0.62133,0.65594
0959-d_Ant_g,M,a-e,1107715.0,1752.2013,1785.0,-96.0122,982764492931.0,1190033407741050.0,1.56200806107708e+18,0.52768,0.57377,0.61049
0959-d_Post_d,M,a-e,788341.0,1194.9261,1182.0,-1.1211,347627742824.0,289373801584996.0,2.58010798588311e+17,0.5618,0.60576,0.6399
0960-d_Ant_g,M,e-s,1020771.0,1704.9003,1763.0,-100.4361,858897764544.0,1012825442088080.0,1.29532179394517e+18,0.5203,0.56574,0.60202
0960-d_Post_g,M,e-s,682363.0,1122.8634,1109.0,17.5721,272659142886.0,215456251176824.0,1.82511489803914e+17,0.56999,0.61402,0.64847
0961-d_Ant_g,F,a-s,1029061.0,1697.9441,1753.0,-90.8807,840364052787.0,984086660761671.0,1.25394666022407e+18,0.5155,0.56202,0.59935
