file_name,wing,genotype_1,genotype_2,sex,ind_name,side,left/right,av_0.50301_pca_score,av_0.22066_pca_score,av_0.072128_pca_score,av_0.041431_pca_score,av_0.031946_pca_score,av_0.024948_pca_score,av_0.018308_pca_score,av_0.015293_pca_score,av_0.011828_pca_score,av_0.010721_pca_score,av_0.0070774_pca_score,av_0.0049404_pca_score,av_0.0043809_pca_score,av_0.0040939_pca_score,av_0.0032058_pca_score,av_0.0029431_pca_score,av_0.0024919_pca_score,av_0.0021771_pca_score,av_0.0018749_pca_score,av_0.0017083_pca_score,av_0.0015689_pca_score,av_0.0011976_pca_score,av_0.0010609_pca_score,av_0.00093322_pca_score,av_0.00086645_pca_score,av_0.00074226_pca_score,av_0.00067982_pca_score,av_0.00062963_pca_score,av_0.00057423_pca_score,av_0.00051661_pca_score,av_0.00045574_pca_score,av_0.00040186_pca_score,av_0.0003605_pca_score,av_0.00034049_pca_score,av_0.00033056_pca_score,av_0.00029424_pca_score,av_0.00027587_pca_score,av_0.00026038_pca_score,av_0.00023667_pca_score,av_0.00021082_pca_score,av_0.00020138_pca_score,av_0.00019121_pca_score,av_0.00017982_pca_score,av_0.0001705_pca_score,av_0.00015312_pca_score,av_0.00014506_pca_score,av_0.00013853_pca_score,av_0.0001267_pca_score,av_0.00011834_pca_score,av_0.00011592_pca_score,av_9.9671e-05_pca_score,av_9.3405e-05_pca_score,av_8.8918e-05_pca_score,av_8.5699e-05_pca_score,av_8.2197e-05_pca_score,av_7.4753e-05_pca_score,av_7.223e-05_pca_score,av_6.6939e-05_pca_score,av_6.3306e-05_pca_score,av_5.9128e-05_pca_score,av_5.2487e-05_pca_score,av_5.062e-05_pca_score,av_4.7221e-05_pca_score,av_4.2106e-05_pca_score,av_3.9539e-05_pca_score,av_3.6455e-05_pca_score,av_3.5619e-05_pca_score,av_3.3736e-05_pca_score,av_2.9917e-05_pca_score,av_2.9218e-05_pca_score,av_2.6194e-05_pca_score,av_2.3741e-05_pca_score,av_2.2604e-05_pca_score,av_1.9289e-05_pca_score,av_1.7345e-05_pca_score,av_1.5363e-05_pca_score,av_1.3639e-05_pca_score,av_1.1901e-05_pca_score,av_1.0412e-05_pca_score,av_9.0175e-06_pca_score
MJ05.1264-v_Ant_d.tif,Ant,numata,aurora,m,MJ05.1264,v,d,-9.8173,4.1461,-0.28751,0.10772,-0.2126,1.5262,2.4236,-0.8483,1.1233,-2.1261,0.86104,0.17683,-0.18032,-1.1502,0.43306,-1.209,-0.13963,-0.54152,1.108,0.51905,-1.0905,0.028587,0.22968,-0.01215,0.32786,-0.22862,-0.48534,0.095056,0.61346,-0.2244,-0.29793,0.17963,0.075825,0.20783,-0.1003,-0.15759,-0.043709,-0.041425,0.14137,-0.063584,-0.076462,0.067507,-0.077052,0.12584,0.11522,0.18326,0.09358,-0.11945,-0.084929,-0.091028,-0.074612,-0.13195,0.10558,0.040049,0.058096,0.051324,0.010916,0.018849,-0.0081092,-0.019459,-0.11824,0.018099,-0.059524,-0.015178,0.043252,-0.12411,0.086796,0.048598,0.068149,-0.014638,0.0097367,-0.034137,0.011352,0.058915,-0.019171,0.019611,-0.015172,0.029488,0.029251,-0.0097868
MJ05.1265-v_Ant_g.tif,Ant,numata,aurora,f,MJ05.1265,v,g,-3.3193,3.3214,2.1766,1.2141,-1.1211,-0.043479,0.73385,-1.0517,-0.75952,0.72857,1.7258,-0.65857,-0.81536,-0.14151,-0.52438,0.84319,-0.1622,0.060208,5.4285e-05,-0.7644,0.093838,0.41589,0.29736,-0.25205,0.033805,0.46292,0.34206,0.060833,-0.15195,-0.017206,-0.16008,-0.014542,0.31046,-0.27662,0.16106,0.18672,0.05647,0.16951,-0.14898,0.046917,-0.31593,0.014697,-0.064155,-0.16006,-0.036348,0.031971,-0.021479,-0.17108,-0.2104,-0.10589,-0.081408,0.10434,0.071408,0.1704,-0.030573,-0.037165,0.010324,-0.17164,-0.0026438,-0.068807,0.019216,-0.028872,-0.048544,0.016107,0.022747,0.026319,0.048216,-0.023653,0.057936,0.024521,0.011704,0.051915,-0.046386,-0.051369,-0.018167,0.038482,0.017408,-0.053914,-0.022533,-0.0021554
MJ05.1272-v_Ant_g.tif,Ant,numata,aurora,m,MJ05.1272,v,g,-2.2003,10.1047,0.067959,-0.89873,-0.022378,-0.71184,1.59,0.44349,0.68997,0.88201,0.25775,-0.57474,0.34199,-0.60512,0.33084,-0.25137,0.052861,0.073435,-0.013271,0.52463,-0.51662,-0.13998,0.52294,-0.32324,-0.0089036,0.27063,0.24949,0.22416,0.10752,0.22478,0.073235,0.20634,0.12756,0.13443,-0.23321,-0.038843,0.048885,0.19647,-0.071641,-0.092514,-0.084958,0.05505,0.03299,-0.10159,0.13798,-0.11897,-0.11245,0.15841,-0.019186,-0.079211,-0.0347,0.076864,-0.01526,-0.03529,0.14881,-0.045214,-0.13952,-0.088419,0.13171,-0.082974,-0.030951,0.027886,0.0056195,-0.0017898,0.025368,0.061445,-0.099095,0.09512,-0.040553,-0.025217,0.11005,0.014525,-0.016693,0.043047,-0.0022794,-0.013761,0.012364,0.0028981,-0.04445,-7.7384e-05
MJ05.1273-v_Ant_d.tif,Ant,numata,aurora,m,MJ05.1273,v,d,-8.0232,4.9926,0.98823,-2.0396,0.41917,0.45245,0.72562,0.21448,-0.17462,0.12892,-0.14482,-0.53515,0.73641,0.6785,0.67005,0.10401,0.16748,-0.28302,0.4816,-0.03871,0.025691,0.092976,0.051278,0.11987,0.45423,0.14785,-0.20343,0.17458,0.034049,0.061527,0.20431,-0.10376,-0.081604,0.07962,-0.12695,0.061519,0.10934,-0.12859,0.07974,0.07346,0.012412,0.12834,0.0057941,-0.01597,0.098499,0.067841,0.065018,-0.091981,0.067527,-0.0044902,0.061575,-0.12067,-0.0020155,-0.053967,0.040407,-0.0095757,-0.0061714,-0.074385,0.035047,-0.044,0.07359,0.01379,0.031958,-0.025638,0.048805,-0.022512,-0.0024833,-0.010134,0.034898,0.040202,-0.067788,-0.036797,-0.003681,-0.0027819,-0.00027129,0.048402,0.02358,0.0089337,-0.015752,-0.011968
MJ05.1277-v_Ant_g.tif,Ant,numata,elegans,f,MJ05.1277,v,g,-9.8512,1.4852,4.3776,-1.1306,1.5635,-1.5786,0.11577,-1.2073,-0.74123,0.5792,0.35514,0.18563,0.4153,-0.96532,0.58066,0.34661,-0.10162,0.56513,0.0045601,-0.79955,0.46057,0.065397,0.32521,-0.22982,-0.05332,-0.36116,-0.1315,-0.09562,-0.40034,0.054915,-0.2054,0.015987,0.15453,0.0026934,0.44209,0.051689,-0.15758,-0.1233,0.012966,-0.025888,0.085659,-0.069076,0.2348,-0.10448,-0.0203,0.13489,0.017714,-0.065844,-0.040199,0.062419,0.15567,0.083265,-0.16038,-0.038344,-0.028116,-0.19241,0.041496,0.067393,0.070708,-0.0089989,0.043083,-0.14747,-0.016877,-0.0014829,0.04938,0.019061,-0.046838,0.062898,0.073233,-0.014776,-0.027967,-0.0076562,-0.023618,0.038022,-0.0095718,0.057764,-0.039254,-0.02113,0.021346,0.035117
MJ05.1278-v_Ant_g.tif,Ant,numata,silvana,m,MJ05.1278,v,g,-7.4673,7.7947,2.2206,-1.5148,0.37439,0.43633,-0.4196,0.39745,-0.096538,1.1075,-0.88293,0.012545,0.028357,0.3595,0.095171,0.31753,-0.91072,-0.37291,-0.32603,0.17346,-0.29609,-0.19848,0.35775,-0.49752,-0.074873,-0.35222,-0.23041,-0.14469,0.041256,0.054944,-0.23415,0.0059872,0.228,0.16281,0.054373,-0.0037546,-0.0707,-0.053387,-0.053363,0.082624,-0.056792,0.015513,-0.093637,0.16549,0.085758,-0.021119,-0.13903,0.19035,-0.13237,-0.023967,0.032792,-0.0013597,0.078322,-0.12065,-0.019677,-0.075593,-0.069509,0.051679,0.0051526,-0.019842,-0.072403,0.0058824,0.0027439,-0.016098,-0.08984,0.0044503,-0.18405,-0.069167,0.025907,0.032967,0.090816,-0.020413,0.0015099,0.049267,-0.0012575,0.0051886,-0.00021542,0.079312,0.0044027,-0.046004
MJ05.1326-v_Ant_g.tif,Ant,numata,bicoloratus,f,MJ05.1326,v,g,7.7215,2.7373,1.804,-1.7286,-2.0456,-1.0748,0.74721,-0.12738,-1.3665,0.15151,0.63617,0.74465,-0.35817,-0.69955,-0.35978,0.067755,-0.028591,-0.24734,-0.16733,0.28934,-0.053814,-0.16537,-0.40188,0.56111,-0.18764,0.049081,0.10823,-0.28084,0.16506,0.19673,-0.17324,0.096633,0.060442,-0.098306,-0.2318,0.072671,0.17608,0.083653,-0.17295,0.20097,-0.239,0.10092,-0.094954,0.094474,-0.0038261,0.00112,-0.06491,0.069075,-0.069863,-0.017041,0.18825,-0.025298,0.075469,-0.017667,-0.063079,0.059645,-0.14194,0.031876,0.023496,-0.011086,-0.05632,0.041446,-0.11127,0.0032692,0.0064823,0.12402,0.025443,-0.046082,-0.074762,-0.016569,0.0064315,0.015389,-0.043873,0.01631,-0.037086,-0.037967,0.04638,0.024228,0.021516,0.0047291
MJ05.1349-v_Ant_d.tif,Ant,numata,bicoloratus,f,MJ05.1349,v,d,-3.2305,0.84964,2.6368,-0.065274,0.58104,-1.2569,0.02404,0.33053,0.26974,2.3295,1.3202,0.87087,-0.58461,-0.62695,-0.055688,0.60157,-0.51415,-0.85707,-0.72481,-0.057029,-0.28379,-0.45809,-0.067418,-0.083887,-0.42662,0.05026,0.19352,0.10895,-0.006725,0.1264,0.18462,0.31488,0.12585,-0.29793,-0.26227,0.14097,0.016112,0.022869,-0.46445,-0.18719,0.22435,-0.049322,-0.0088884,0.13498,-0.23948,-0.041375,-0.12715,0.11778,-0.067123,-0.041011,0.16782,-0.0013373,0.027349,-0.069427,0.077263,0.07477,0.0578,-0.018072,-0.10034,0.095591,-0.11896,0.019614,0.052989,-0.074876,0.030572,0.069073,0.011048,-0.03867,-0.019739,-0.010505,0.032754,0.0010723,-0.015732,0.0072122,0.0078176,-0.029373,-0.031095,0.0094253,-0.0014568,-0.018397
MJ05.1360-v_Ant_g.tif,Ant,numata,tarapotensis,f,MJ05.1360,v,g,0.38181,0.47695,3.1801,-4.5505,2.1708,-2.7836,1.334,0.50886,0.32026,0.55737,1.3456,-0.2979,-0.18334,-0.34482,0.42139,0.86054,-0.45334,-0.34567,-0.4259,-0.73903,0.093315,-0.11581,0.11337,-0.35459,-0.19506,0.028907,-0.39847,0.061364,0.12457,0.1297,0.092575,-0.54516,-0.26853,0.12576,-0.28862,-0.019045,-0.029192,-0.018837,0.26849,-0.20264,0.021567,0.13574,0.1462,-0.060959,-0.16389,0.23266,0.22909,-0.065034,-0.021853,0.1551,-0.10099,0.024932,-0.023993,-0.036874,0.022654,-0.030317,0.13956,0.0030011,0.025288,0.02534,-0.0053302,-0.17357,-0.012336,0.13755,-0.096897,0.031764,0.063861,0.11769,0.012319,-0.0040495,-0.11315,-0.085506,-0.067347,0.0041703,0.039631,0.10379,0.021368,0.011466,-0.065929,0.046026
MJ05.1361-v_Ant_d.tif,Ant,numata,tarapotensis,f,MJ05.1361,v,d,-4.1293,-7.8108,5.0578,-3.4797,1.7726,-0.426,0.077438,-0.27515,0.75947,2.352,-1.1117,-0.71741,0.54897,1.5045,-0.82687,0.59434,-0.21984,0.19211,0.36833,0.57891,-0.36495,-0.29671,0.18525,-0.11369,-0.25598,-0.2676,0.060653,-0.33523,0.11285,0.23143,-0.061609,-0.11293,0.0612,-0.11272,0.072937,-0.0017597,0.29299,-0.0043408,0.22342,-0.2105,0.10425,-0.11656,0.00038247,-0.17288,0.13773,0.050194,-0.040991,-0.024562,0.042398,-0.07861,-0.10886,0.12343,-0.036537,-0.064143,-0.10462,-0.036412,0.013538,0.10198,0.010808,0.00094543,0.025856,-0.024147,-0.039308,-0.040793,-0.054626,0.025915,-0.005506,-0.079192,0.012208,0.096876,-0.028029,-0.028906,0.026584,0.069027,-0.040727,-0.029196,-0.019863,-0.030995,-0.014794,-0.076802
MJ05.1364-v_Ant_g.tif,Ant,numata,bicoloratus,f,MJ05.1364,v,g,-3.4142,-1.6983,2.6427,-4.3328,0.1433,-2.4581,-1.3902,1.7005,0.93387,0.70965,0.95952,0.62779,-0.53232,-0.13245,-0.13116,0.30764,-0.63624,0.20377,-0.076145,0.058554,-0.28163,0.20553,0.11536,0.024963,-0.13016,-0.29803,0.17112,0.563,0.37971,0.2238,-0.22304,0.079931,-0.12398,-0.21267,-0.048084,0.086612,-0.052242,-0.037603,-0.17055,-0.010499,0.23138,-0.12712,-0.19187,-0.20744,-0.21338,-0.15155,0.090843,0.14931,-0.036883,-0.13741,0.10408,-0.090912,-0.093963,-0.071939,0.16045,0.06299,-0.046982,-0.029373,-0.041937,0.086349,-0.082218,0.025746,-0.047002,-0.050261,-0.045275,-0.080365,0.03882,0.1121,0.033993,-0.024738,0.044872,-0.042116,-0.003677,-0.022388,0.020084,-0.0055117,-0.029919,0.027401,0.021354,-0.017388
MJ05.1366-v_Ant_d.tif,Ant,numata,bicoloratus,m,MJ05.1366,v,d,-8.9104,2.9427,-1.9608,0.97062,-2.0229,0.29552,-0.62094,1.2788,1.0473,-0.53434,0.4789,0.30665,0.12216,0.84558,0.3381,0.017228,-0.47078,0.55441,0.38664,-0.5311,0.20448,0.23932,0.046129,-0.40592,-0.06877,-0.063649,-0.13744,0.39637,-0.15533,-0.14317,0.19543,-0.012606,-0.063296,0.010186,-0.29203,-0.33548,-0.08583,-0.18782,-0.1913,-0.15678,0.018492,-0.15502,0.15944,0.19927,1.916e-06,-0.034954,0.096021,-0.01372,0.027133,0.002846,0.1678,-0.0056971,-0.059701,0.11588,-0.11088,-0.082292,0.081525,0.021924,0.0093149,-0.054802,0.043871,-0.14704,-0.074653,-0.038079,-0.023327,-0.037744,-0.072655,-0.090793,-0.11976,-0.051408,-0.011911,0.016108,-0.053741,0.0056051,-0.0178,0.020374,-0.046159,0.025217,0.025424,0.003933
