"Statistic","Year","County and Region","UNIT","VALUE"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Carlow","Euro Million","33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Kilkenny","Euro Million","55"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Wexford","Euro Million","76"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Waterford","Euro Million","74"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","South-West","Euro Million","469"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Cork","Euro Million","383"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Kerry","Euro Million","86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Eastern and Midland","Euro Million","2058"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Dublin","Euro Million","1449"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Mid-East","Euro Million","456"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Kildare","Euro Million","154"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Louth","Euro Million","80"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Meath","Euro Million","113"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Wicklow","Euro Million","109"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Midland","Euro Million","152"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Laois","Euro Million","38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Longford","Euro Million","19"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Offaly","Euro Million","41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Westmeath","Euro Million","54"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","State","Euro Million","4370"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Northern and Western","Euro Million","619"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Border","Euro Million","244"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Leitrim","Euro Million","22"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Sligo","Euro Million","52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Cavan","Euro Million","40"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Donegal","Euro Million","92"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Monaghan","Euro Million","38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","West","Euro Million","375"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Galway","Euro Million","240"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Mayo","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Roscommon","Euro Million","42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Southern","Euro Million","1236"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Mid-West","Euro Million","376"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Clare","Euro Million","88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Limerick","Euro Million","177"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Tipperary","Euro Million","110"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","South-East","Euro Million","289"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Carlow","Euro Million","40"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Kilkenny","Euro Million","66"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Wexford","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Waterford","Euro Million","90"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","South-West","Euro Million","571"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Cork","Euro Million","467"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Kerry","Euro Million","104"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Eastern and Midland","Euro Million","2515"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Dublin","Euro Million","1768"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Mid-East","Euro Million","562"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Kildare","Euro Million","191"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Louth","Euro Million","98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Meath","Euro Million","140"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Wicklow","Euro Million","133"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Midland","Euro Million","185"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Laois","Euro Million","46"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Longford","Euro Million","23"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Offaly","Euro Million","49"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Westmeath","Euro Million","66"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","State","Euro Million","4978"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Northern and Western","Euro Million","700"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Border","Euro Million","276"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Leitrim","Euro Million","24"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Sligo","Euro Million","58"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Cavan","Euro Million","45"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Donegal","Euro Million","105"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Monaghan","Euro Million","43"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","West","Euro Million","424"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Galway","Euro Million","272"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Mayo","Euro Million","105"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Roscommon","Euro Million","48"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Southern","Euro Million","1404"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Mid-West","Euro Million","425"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Clare","Euro Million","100"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Limerick","Euro Million","200"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Tipperary","Euro Million","125"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","South-East","Euro Million","329"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Carlow","Euro Million","46"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Kilkenny","Euro Million","75"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Wexford","Euro Million","106"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Waterford","Euro Million","102"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","South-West","Euro Million","649"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Cork","Euro Million","532"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Kerry","Euro Million","117"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Eastern and Midland","Euro Million","2874"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Dublin","Euro Million","2017"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Mid-East","Euro Million","647"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Kildare","Euro Million","221"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Louth","Euro Million","112"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Meath","Euro Million","161"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Wicklow","Euro Million","152"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Midland","Euro Million","210"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Laois","Euro Million","53"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Longford","Euro Million","26"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Offaly","Euro Million","56"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Westmeath","Euro Million","75"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","State","Euro Million","4731"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Northern and Western","Euro Million","669"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Border","Euro Million","264"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Leitrim","Euro Million","23"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Sligo","Euro Million","55"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Cavan","Euro Million","44"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Donegal","Euro Million","100"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Monaghan","Euro Million","42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","West","Euro Million","405"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Galway","Euro Million","258"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Mayo","Euro Million","100"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Roscommon","Euro Million","46"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Southern","Euro Million","1344"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Mid-West","Euro Million","402"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Clare","Euro Million","96"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Limerick","Euro Million","186"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Tipperary","Euro Million","120"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","South-East","Euro Million","319"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Carlow","Euro Million","44"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Kilkenny","Euro Million","73"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Wexford","Euro Million","105"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Waterford","Euro Million","96"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","South-West","Euro Million","623"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Cork","Euro Million","509"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Kerry","Euro Million","113"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Eastern and Midland","Euro Million","2718"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Dublin","Euro Million","1886"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Mid-East","Euro Million","628"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Kildare","Euro Million","216"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Louth","Euro Million","107"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Meath","Euro Million","159"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Wicklow","Euro Million","147"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Midland","Euro Million","203"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Laois","Euro Million","52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Longford","Euro Million","25"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Offaly","Euro Million","55"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Westmeath","Euro Million","71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","State","Euro Million","4100"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Northern and Western","Euro Million","583"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Border","Euro Million","231"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Leitrim","Euro Million","19"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Sligo","Euro Million","47"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Cavan","Euro Million","40"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Donegal","Euro Million","87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Monaghan","Euro Million","37"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","West","Euro Million","352"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Galway","Euro Million","223"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Mayo","Euro Million","87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Roscommon","Euro Million","41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Southern","Euro Million","1172"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Mid-West","Euro Million","347"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Clare","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Limerick","Euro Million","158"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Tipperary","Euro Million","106"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","South-East","Euro Million","281"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Carlow","Euro Million","39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Kilkenny","Euro Million","65"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Wexford","Euro Million","94"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Waterford","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","South-West","Euro Million","544"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Cork","Euro Million","444"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Kerry","Euro Million","99"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Eastern and Midland","Euro Million","2345"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Dublin","Euro Million","1610"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Mid-East","Euro Million","556"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Kildare","Euro Million","191"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Louth","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Meath","Euro Million","143"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Wicklow","Euro Million","129"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Midland","Euro Million","179"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Laois","Euro Million","47"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Longford","Euro Million","22"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Offaly","Euro Million","49"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Westmeath","Euro Million","61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","State","Euro Million","3506"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Northern and Western","Euro Million","501"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Border","Euro Million","199"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Leitrim","Euro Million","16"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Sligo","Euro Million","40"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Cavan","Euro Million","35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Donegal","Euro Million","75"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Monaghan","Euro Million","33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","West","Euro Million","302"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Galway","Euro Million","191"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Mayo","Euro Million","75"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Roscommon","Euro Million","36"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Southern","Euro Million","1008"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Mid-West","Euro Million","296"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Clare","Euro Million","72"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Limerick","Euro Million","133"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Tipperary","Euro Million","91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","South-East","Euro Million","244"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Carlow","Euro Million","34"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Kilkenny","Euro Million","57"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Wexford","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Waterford","Euro Million","70"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","South-West","Euro Million","468"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Cork","Euro Million","382"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Kerry","Euro Million","86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Eastern and Midland","Euro Million","1997"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Dublin","Euro Million","1357"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Mid-East","Euro Million","484"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Kildare","Euro Million","167"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Louth","Euro Million","79"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Meath","Euro Million","126"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Wicklow","Euro Million","112"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Midland","Euro Million","156"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Laois","Euro Million","41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Longford","Euro Million","19"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Offaly","Euro Million","43"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Westmeath","Euro Million","52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","State","Euro Million","3344"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Northern and Western","Euro Million","480"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Border","Euro Million","191"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Leitrim","Euro Million","15"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Sligo","Euro Million","38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Cavan","Euro Million","35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Donegal","Euro Million","72"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Monaghan","Euro Million","32"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","West","Euro Million","288"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Galway","Euro Million","182"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Mayo","Euro Million","72"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Roscommon","Euro Million","35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Southern","Euro Million","967"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Mid-West","Euro Million","281"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Clare","Euro Million","69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Limerick","Euro Million","124"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Tipperary","Euro Million","88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","South-East","Euro Million","237"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Carlow","Euro Million","33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Kilkenny","Euro Million","55"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Wexford","Euro Million","82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Waterford","Euro Million","67"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","South-West","Euro Million","450"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Cork","Euro Million","367"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Kerry","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Eastern and Midland","Euro Million","1897"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Dublin","Euro Million","1277"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Mid-East","Euro Million","470"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Kildare","Euro Million","163"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Louth","Euro Million","76"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Meath","Euro Million","123"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Wicklow","Euro Million","108"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Midland","Euro Million","151"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Laois","Euro Million","41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Longford","Euro Million","18"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Offaly","Euro Million","42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Westmeath","Euro Million","50"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","State","Euro Million","5550"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Northern and Western","Euro Million","814"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Border","Euro Million","330"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Leitrim","Euro Million","27"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Sligo","Euro Million","65"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Cavan","Euro Million","61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Donegal","Euro Million","123"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Monaghan","Euro Million","53"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","West","Euro Million","485"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Galway","Euro Million","303"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Mayo","Euro Million","121"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Roscommon","Euro Million","60"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Southern","Euro Million","1612"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Mid-West","Euro Million","467"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Clare","Euro Million","115"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Limerick","Euro Million","205"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Tipperary","Euro Million","147"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","South-East","Euro Million","398"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Carlow","Euro Million","55"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Kilkenny","Euro Million","92"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Wexford","Euro Million","138"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Waterford","Euro Million","112"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","South-West","Euro Million","748"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Cork","Euro Million","607"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Kerry","Euro Million","141"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Eastern and Midland","Euro Million","3124"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Dublin","Euro Million","2091"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Mid-East","Euro Million","780"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Kildare","Euro Million","271"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Louth","Euro Million","126"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Meath","Euro Million","206"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Wicklow","Euro Million","177"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Midland","Euro Million","253"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Laois","Euro Million","69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Longford","Euro Million","31"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Offaly","Euro Million","70"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Westmeath","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","State","Euro Million","8218"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Northern and Western","Euro Million","1219"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Border","Euro Million","499"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Leitrim","Euro Million","41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Sligo","Euro Million","97"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Cavan","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Donegal","Euro Million","189"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Monaghan","Euro Million","78"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","West","Euro Million","720"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Galway","Euro Million","449"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Mayo","Euro Million","182"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Roscommon","Euro Million","89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Southern","Euro Million","2412"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Mid-West","Euro Million","702"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Clare","Euro Million","172"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Limerick","Euro Million","303"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Tipperary","Euro Million","227"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","South-East","Euro Million","597"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Carlow","Euro Million","84"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Kilkenny","Euro Million","138"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Wexford","Euro Million","209"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Waterford","Euro Million","167"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","South-West","Euro Million","1113"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Cork","Euro Million","903"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2008","Kerry","Euro Million","210"
