"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2006","Meath","State=100","107"
"Index of Disposable Income per Person","2006","Wicklow","State=100","95.5"
"Index of Disposable Income per Person","2006","Midland","State=100","93.8"
"Index of Disposable Income per Person","2006","Laois","State=100","95.3"
"Index of Disposable Income per Person","2006","Longford","State=100","93.6"
"Index of Disposable Income per Person","2006","Offaly","State=100","93.2"
"Index of Disposable Income per Person","2006","Westmeath","State=100","93.1"
"Index of Disposable Income per Person","2007","State","State=100","100"
"Index of Disposable Income per Person","2007","Northern and Western","State=100","90.9"
"Index of Disposable Income per Person","2007","Border","State=100","88.3"
"Index of Disposable Income per Person","2007","Leitrim","State=100","95.1"
"Index of Disposable Income per Person","2007","Sligo","State=100","92.8"
"Index of Disposable Income per Person","2007","Cavan","State=100","97"
"Index of Disposable Income per Person","2007","Donegal","State=100","80.6"
"Index of Disposable Income per Person","2007","Monaghan","State=100","90.7"
"Index of Disposable Income per Person","2007","West","State=100","93.3"
"Index of Disposable Income per Person","2007","Galway","State=100","97.2"
"Index of Disposable Income per Person","2007","Mayo","State=100","87.1"
"Index of Disposable Income per Person","2007","Roscommon","State=100","91.3"
"Index of Disposable Income per Person","2007","Southern","State=100","97.2"
"Index of Disposable Income per Person","2007","Mid-West","State=100","97.3"
"Index of Disposable Income per Person","2007","Clare","State=100","95.4"
"Index of Disposable Income per Person","2007","Limerick","State=100","98.3"
"Index of Disposable Income per Person","2007","Tipperary","State=100","97.4"
"Index of Disposable Income per Person","2007","South-East","State=100","98.1"
"Index of Disposable Income per Person","2007","Carlow","State=100","95.7"
"Index of Disposable Income per Person","2007","Kilkenny","State=100","94.9"
"Index of Disposable Income per Person","2007","Wexford","State=100","101.2"
"Index of Disposable Income per Person","2007","Waterford","State=100","98.1"
"Index of Disposable Income per Person","2007","South-West","State=100","96.6"
"Index of Disposable Income per Person","2007","Cork","State=100","99.5"
"Index of Disposable Income per Person","2007","Kerry","State=100","86.8"
"Index of Disposable Income per Person","2007","Eastern and Midland","State=100","105.4"
"Index of Disposable Income per Person","2007","Dublin","State=100","109.6"
"Index of Disposable Income per Person","2007","Mid-East","State=100","102.5"
"Index of Disposable Income per Person","2007","Kildare","State=100","104.1"
"Index of Disposable Income per Person","2007","Louth","State=100","101.9"
"Index of Disposable Income per Person","2007","Meath","State=100","107.1"
"Index of Disposable Income per Person","2007","Wicklow","State=100","95.2"
"Index of Disposable Income per Person","2007","Midland","State=100","92.4"
"Index of Disposable Income per Person","2007","Laois","State=100","94.7"
"Index of Disposable Income per Person","2007","Longford","State=100","92.5"
"Index of Disposable Income per Person","2007","Offaly","State=100","90.4"
