Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division",Burglary and related offences,Number,0,1,0,2,0,2,2,2,0,1,3,4,7,1,2,1,0
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division",Theft and related offences,Number,8,2,4,2,4,7,9,11,4,8,12,7,12,5,4,2,3
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division","Fraud, deception and related offences",Number,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division",Controlled drug offences,Number,1,0,0,3,5,12,2,4,7,11,13,8,5,5,3,0,5
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division",Weapons and Explosives Offences,Number,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division",Damage to property and to the environment,Number,2,4,1,3,1,5,1,3,3,5,8,3,4,1,0,4,3
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division",Public order and other social code offences,Number,0,2,3,0,7,6,2,8,1,5,13,2,16,2,1,8,12
Recorded Crime Offences Under Reservation,"33202 Ballydehob, Cork West Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division","Attempts/threats to murder, assaults, harassments and related offences",Number,0,4,0,1,1,4,0,3,4,0,1,2,0,2,2,0,2
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Dangerous or negligent acts,Number,2,2,0,4,3,1,3,0,1,1,1,3,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Burglary and related offences,Number,3,11,4,0,3,1,3,6,3,3,1,5,1,5,1,2,2
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Theft and related offences,Number,6,10,3,7,4,15,10,1,9,6,4,7,7,3,4,1,2
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division","Fraud, deception and related offences",Number,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,4
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Controlled drug offences,Number,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,1,0
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Damage to property and to the environment,Number,3,5,1,3,0,2,1,0,0,2,1,3,2,2,1,2,4
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division",Public order and other social code offences,Number,4,1,1,1,3,1,1,4,2,1,0,0,0,1,0,2,2
Recorded Crime Offences Under Reservation,"33401 Ballydesmond, Cork West Division","Offences against government, justice procedures and organisation of crime",Number,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division","Attempts/threats to murder, assaults, harassments and related offences",Number,12,2,1,5,4,8,9,12,3,1,8,8,8,7,7,4,6
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Dangerous or negligent acts,Number,4,3,7,4,7,7,3,9,2,3,5,5,5,3,4,6,5
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division","Robbery, extortion and hijacking offences",Number,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Burglary and related offences,Number,7,6,11,3,8,8,6,9,5,0,3,8,5,4,4,5,2
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Theft and related offences,Number,7,2,6,11,17,14,7,13,4,4,10,2,4,0,2,9,5
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division","Fraud, deception and related offences",Number,0,1,0,0,0,1,2,0,0,0,1,0,2,0,0,0,1
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Controlled drug offences,Number,0,2,0,1,1,0,2,1,2,0,2,8,1,3,2,1,4
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Weapons and Explosives Offences,Number,0,0,0,1,0,1,0,1,1,0,0,2,1,1,1,0,0
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Damage to property and to the environment,Number,10,4,5,13,8,10,14,7,5,11,6,4,7,4,6,2,4
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division",Public order and other social code offences,Number,14,14,12,28,13,5,7,22,19,6,18,15,10,7,8,10,5
Recorded Crime Offences Under Reservation,"34202 Ballyduff,  Co. Kerry, Kerry Division","Offences against government, justice procedures and organisation of crime",Number,3,3,6,4,5,7,1,1,0,0,1,0,0,7,7,0,0
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences",Number,99,116,106,142,111,83,92,110,83,118,100,91,68,106,74,130,153
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Dangerous or negligent acts,Number,64,66,72,103,169,189,152,119,87,88,49,61,61,52,54,49,45
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Kidnapping and related offences,Number,0,0,1,1,0,0,0,3,0,3,1,2,1,0,0,2,2
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division","Robbery, extortion and hijacking offences",Number,51,30,37,38,23,22,22,18,22,19,29,36,67,47,33,27,28
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Burglary and related offences,Number,190,196,152,150,134,130,188,201,250,214,221,275,271,126,90,121,122
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Theft and related offences,Number,663,538,575,566,542,507,466,500,609,602,586,706,562,494,493,390,488
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division","Fraud, deception and related offences",Number,10,49,9,35,34,25,28,31,25,50,40,51,33,40,38,53,49
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Controlled drug offences,Number,122,107,141,189,324,492,459,396,322,320,245,181,186,199,228,209,374
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Weapons and Explosives Offences,Number,18,22,32,47,40,60,42,61,62,41,29,27,35,33,30,22,33
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Damage to property and to the environment,Number,476,461,510,508,478,457,397,375,359,398,374,338,346,244,227,260,250
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division",Public order and other social code offences,Number,360,452,553,637,667,688,466,601,422,438,242,190,168,152,164,169,130
Recorded Crime Offences Under Reservation,"66201 Ballyfermot, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime",Number,72,89,78,88,79,45,27,49,33,27,23,23,21,25,37,30,30
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,4,7,5,8,2,2,8,4,7,5,4,1,5,3,7,4
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Dangerous or negligent acts,Number,1,4,5,6,5,2,2,1,0,1,2,3,0,1,1,4,0
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Burglary and related offences,Number,2,5,7,8,4,7,13,3,8,12,3,4,1,0,2,6,2
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Theft and related offences,Number,10,12,12,8,10,10,12,10,13,6,9,6,7,5,1,6,1
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division","Fraud, deception and related offences",Number,7,0,2,2,2,1,0,1,1,1,3,1,4,2,0,2,2
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Controlled drug offences,Number,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,5
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Weapons and Explosives Offences,Number,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Damage to property and to the environment,Number,3,4,4,2,5,5,3,2,5,4,5,3,0,4,1,1,1
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division",Public order and other social code offences,Number,3,6,10,14,6,7,5,19,4,7,14,4,5,4,7,3,0
Recorded Crime Offences Under Reservation,"23103 Ballygar, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,2,3,1,1,2,4,2,2,1,3,1,2,3,1,4,2
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Dangerous or negligent acts,Number,7,8,2,3,5,4,9,4,2,3,5,1,4,3,0,4,5
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Burglary and related offences,Number,12,6,8,12,5,6,14,10,16,6,11,4,6,3,5,4,2
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Theft and related offences,Number,13,9,17,17,13,23,26,26,22,10,16,10,2,6,10,8,5
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division","Fraud, deception and related offences",Number,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Controlled drug offences,Number,0,0,0,1,3,4,0,4,2,2,4,2,4,1,5,2,0
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Weapons and Explosives Offences,Number,1,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Damage to property and to the environment,Number,4,3,5,4,9,12,9,6,4,5,5,8,1,0,1,5,4
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division",Public order and other social code offences,Number,1,4,4,0,0,9,5,4,3,4,5,2,2,0,5,3,3
Recorded Crime Offences Under Reservation,"53301 Ballyhale, Kilkenny/Carlow Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division","Attempts/threats to murder, assaults, harassments and related offences",Number,24,14,24,33,16,18,12,14,18,20,15,15,18,18,19,19,12
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Dangerous or negligent acts,Number,19,16,14,14,21,18,12,10,7,8,8,8,5,6,9,18,13
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division","Robbery, extortion and hijacking offences",Number,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Burglary and related offences,Number,12,10,14,18,31,13,20,14,16,9,17,16,19,15,11,19,9
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Theft and related offences,Number,32,22,62,51,35,27,49,30,39,40,51,36,33,26,24,21,24
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division","Fraud, deception and related offences",Number,7,6,0,3,17,5,3,1,4,4,3,3,4,1,1,2,9
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Controlled drug offences,Number,0,1,2,1,1,4,5,9,7,8,5,3,3,1,5,5,4
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Weapons and Explosives Offences,Number,1,0,1,2,3,0,2,2,1,3,1,0,1,0,1,3,0
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Damage to property and to the environment,Number,20,19,26,23,32,16,13,26,6,22,21,17,16,8,10,12,13
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division",Public order and other social code offences,Number,38,18,45,62,46,46,35,63,28,38,26,20,30,18,22,21,24
Recorded Crime Offences Under Reservation,"22501 Ballyhaunis, Mayo Division","Offences against government, justice procedures and organisation of crime",Number,5,3,1,3,3,5,2,2,1,4,0,0,1,4,4,1,2
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division","Attempts/threats to murder, assaults, harassments and related offences",Number,15,6,4,6,23,11,7,8,4,5,5,8,6,4,8,5,8
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Dangerous or negligent acts,Number,3,3,4,3,4,4,3,5,5,3,2,2,0,4,1,4,10
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Burglary and related offences,Number,4,4,12,9,5,8,8,8,2,5,5,3,2,2,4,4,4
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Theft and related offences,Number,5,4,6,9,6,4,5,13,11,8,6,7,3,3,3,5,6
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division","Fraud, deception and related offences",Number,1,1,0,4,1,1,1,3,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Controlled drug offences,Number,3,1,5,1,6,2,4,2,2,2,3,6,2,5,4,6,9
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Weapons and Explosives Offences,Number,0,1,1,0,1,2,2,2,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Damage to property and to the environment,Number,9,6,9,16,6,12,5,17,3,15,7,13,10,6,0,2,2
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division",Public order and other social code offences,Number,15,39,45,45,24,18,18,37,11,14,15,6,16,8,2,6,6
Recorded Crime Offences Under Reservation,"34203 Ballyheigue, Kerry Division","Offences against government, justice procedures and organisation of crime",Number,0,3,2,0,1,2,1,1,1,1,0,0,0,2,1,1,0
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division","Attempts/threats to murder, assaults, harassments and related offences",Number,15,14,17,30,21,15,34,29,26,21,16,18,23,11,26,27,30
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Dangerous or negligent acts,Number,13,17,18,41,38,48,22,22,8,8,5,8,11,12,16,12,16
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Kidnapping and related offences,Number,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division","Robbery, extortion and hijacking offences",Number,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Burglary and related offences,Number,6,17,18,8,11,20,31,23,39,21,17,9,12,5,27,12,6
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Theft and related offences,Number,15,17,37,16,33,31,27,47,34,33,25,18,35,34,27,18,5
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division","Fraud, deception and related offences",Number,1,5,1,6,2,4,3,7,6,1,1,3,7,2,3,4,8
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Controlled drug offences,Number,3,0,4,4,1,4,8,5,9,6,4,3,4,11,2,4,7
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Weapons and Explosives Offences,Number,0,0,0,1,5,2,2,1,2,1,0,2,1,0,3,1,1
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Damage to property and to the environment,Number,4,7,18,21,26,30,22,27,20,16,9,8,13,11,25,10,17
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division",Public order and other social code offences,Number,17,40,20,33,43,55,43,32,38,19,13,15,39,27,39,25,20
Recorded Crime Offences Under Reservation,"11102 Ballyjamesduff, Cavan/Monaghan Division","Offences against government, justice procedures and organisation of crime",Number,2,3,5,8,2,1,1,2,5,1,0,1,2,5,0,6,2
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division","Attempts/threats to murder, assaults, harassments and related offences",Number,4,11,6,19,10,17,10,7,9,10,11,4,2,2,41,4,4
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Dangerous or negligent acts,Number,3,2,1,7,8,7,6,0,2,4,1,2,1,0,3,3,1
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Kidnapping and related offences,Number,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division","Robbery, extortion and hijacking offences",Number,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Burglary and related offences,Number,5,11,12,9,13,8,10,17,19,4,13,14,15,15,11,11,14
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Theft and related offences,Number,12,13,16,12,11,11,17,11,8,24,12,20,14,9,7,12,7
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division","Fraud, deception and related offences",Number,3,1,2,0,0,7,1,0,2,1,1,2,3,0,0,1,0
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Controlled drug offences,Number,2,0,3,3,4,5,5,5,1,0,2,0,2,0,2,4,2
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Weapons and Explosives Offences,Number,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Damage to property and to the environment,Number,5,8,9,20,11,5,15,7,11,11,11,10,7,4,7,7,8
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division",Public order and other social code offences,Number,20,9,42,21,25,15,29,17,28,11,5,8,2,1,6,6,0
Recorded Crime Offences Under Reservation,"35101 Ballylanders, Limerick Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,2,1,1,1,0,3,0,0,2,0,1,0,0,2
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division","Attempts/threats to murder, assaults, harassments and related offences",Number,7,11,14,17,13,14,11,9,3,2,5,3,10,5,7,10,9
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Dangerous or negligent acts,Number,3,5,3,6,6,7,4,3,5,1,4,0,0,4,5,7,5
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Kidnapping and related offences,Number,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Burglary and related offences,Number,34,30,17,12,22,11,15,22,38,37,25,32,20,13,25,22,21
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Theft and related offences,Number,13,25,23,30,32,24,28,34,47,22,30,20,20,17,14,23,15
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division","Fraud, deception and related offences",Number,0,0,0,1,2,1,1,1,2,0,2,0,2,0,2,1,1
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Controlled drug offences,Number,0,1,0,4,3,4,3,1,2,3,2,0,0,2,0,8,7
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Weapons and Explosives Offences,Number,0,0,1,2,1,0,4,2,1,0,1,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Damage to property and to the environment,Number,4,13,10,17,23,33,18,16,25,25,12,8,9,9,8,6,6
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division",Public order and other social code offences,Number,16,22,18,11,15,16,4,8,13,15,8,5,5,1,4,9,6
Recorded Crime Offences Under Reservation,"41205 Ballylinan, Laois/Offaly Division","Offences against government, justice procedures and organisation of crime",Number,1,2,3,2,2,6,0,1,1,2,2,0,2,0,0,0,0
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,3,4,0,3,2,3,0,6,6,2,3,6,2,3,3,4,2
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Dangerous or negligent acts,Number,5,2,5,4,2,6,0,0,1,0,6,5,0,2,2,3,2
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Burglary and related offences,Number,8,16,7,5,9,7,7,11,11,9,10,8,7,7,7,6,3
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Theft and related offences,Number,2,7,3,10,13,15,16,11,20,22,30,2,9,15,6,19,14
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division","Fraud, deception and related offences",Number,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Controlled drug offences,Number,0,0,1,0,2,3,1,0,0,1,0,0,1,2,1,1,2
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Weapons and Explosives Offences,Number,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Damage to property and to the environment,Number,5,3,1,10,5,9,6,7,4,7,6,2,3,2,10,5,5
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division",Public order and other social code offences,Number,0,0,1,2,2,3,4,3,9,5,10,6,2,0,5,1,1
Recorded Crime Offences Under Reservation,"54105 Ballymacarberry, Waterford Division","Offences against government, justice procedures and organisation of crime",Number,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,2,2
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,6,9,11,5,15,15,18,17,28,19,16,21,11,14,27,38,28
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Dangerous or negligent acts,Number,6,3,7,6,13,23,6,9,4,2,5,8,13,11,13,10,5
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division","Robbery, extortion and hijacking offences",Number,0,0,3,2,0,0,0,0,1,0,1,0,0,0,1,1,2
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Burglary and related offences,Number,20,21,24,27,30,24,40,39,36,37,38,32,24,8,11,13,16
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Theft and related offences,Number,11,33,21,31,59,33,42,45,56,56,31,29,25,29,27,29,41
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division","Fraud, deception and related offences",Number,0,2,0,3,4,1,3,2,0,0,4,5,2,3,8,3,10
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Controlled drug offences,Number,2,1,0,1,1,2,1,4,6,1,4,15,8,1,3,2,10
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,3,1,1,1,3,3,3,3,1,3,1
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Damage to property and to the environment,Number,3,11,25,36,32,30,50,31,47,36,22,39,26,18,19,22,21
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division",Public order and other social code offences,Number,21,7,13,34,27,29,47,41,30,24,39,39,23,21,26,27,17
Recorded Crime Offences Under Reservation,"24407 Ballymahon, Roscommon/Longford Division","Offences against government, justice procedures and organisation of crime",Number,1,1,1,6,0,1,3,1,1,2,0,3,1,2,1,9,5
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division","Attempts/threats to murder, assaults, harassments and related offences",Number,3,1,1,0,2,1,3,2,3,3,3,2,1,2,3,4,5
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Dangerous or negligent acts,Number,2,1,1,2,1,5,6,0,2,1,2,2,0,1,0,1,2
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Burglary and related offences,Number,6,2,7,7,9,7,8,8,11,8,12,9,5,3,6,6,1
