Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,4,4,3,1,2,0,4,2,1,2,3,3,2,1,2,4
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Dangerous or negligent acts,Number,5,1,0,0,3,3,1,0,2,2,6,4,1,1,0,1,0
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division","Robbery, extortion and hijacking offences",Number,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Burglary and related offences,Number,6,7,4,3,3,2,7,2,9,5,3,5,4,2,7,2,3
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Theft and related offences,Number,5,7,1,7,5,6,11,5,10,8,5,4,5,7,5,3,3
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division","Fraud, deception and related offences",Number,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Controlled drug offences,Number,2,0,1,0,2,2,4,1,2,0,0,0,4,2,3,1,4
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Weapons and Explosives Offences,Number,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Damage to property and to the environment,Number,2,1,3,11,8,8,4,4,4,5,5,3,4,3,2,4,3
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division",Public order and other social code offences,Number,6,2,2,1,7,3,5,0,1,0,5,4,1,6,4,7,4
Recorded Crime Offences Under Reservation,"54101 Aglish, Waterford Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,1,0,1,1,4,0,2,1,3,3,4,9,9,5,6,0
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Dangerous or negligent acts,Number,0,5,7,7,3,7,4,3,2,5,3,3,1,5,2,2,4
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Burglary and related offences,Number,1,4,4,6,2,3,3,6,9,9,2,3,2,5,3,0,2
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Theft and related offences,Number,3,5,6,4,7,7,12,7,7,9,7,4,2,2,6,2,2
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division","Fraud, deception and related offences",Number,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,2,0
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Controlled drug offences,Number,0,0,0,1,1,2,3,0,1,1,2,0,1,4,1,0,1
Recorded Crime Offences Under Reservation,"23101 Ahascragh, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,1,0
