id_wing,s_wing,wing,dg_wing,area,peri,e_len_axe1,max_len_axe1,devmax_cent_axe1,m2_axe1,m3_axe1,m4_axe1,stdm2_axe1,stdm3_axe1,stdm4_axe1,e_len_axe2,max_len_axe2,devmax_cent_axe2,m2_axe2,m3_axe2,m4_axe2,stdm2_axe2,stdm3_axe2,stdm4_axe2,sex,tribe,genus,geno1,geno2,seg
MJ99.0070-d_Ant_d,d,Ant,d,1036722.0,4460.4574,1678.1517,1712.0,54.4354,1057911972061.0,1294561914878190.0,1.6846125344091e+18,0.59005,0.629,0.6594899999999999,809.1436,885.0,-59.0578,204066104408.0,115443960319580.0,7.08621707004766e+16,0.50132,0.54362,0.57776,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-d_Ant_g,d,Ant,g,1018915.0,4441.6635,1656.0717,1681.0,92.9053,995210873512.0,1194766104156450.0,1.52578063881929e+18,0.58792,0.62731,0.6580699999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-d_Post_d,d,Post,d,692838.0,3606.1618,1117.0883,1077.0,-15.7598,245533027287.0,186913443313071.0,1.52978538100845e+17,0.55274,0.59996,0.63648,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-d_Post_g,d,Post,g,711281.0,3636.2623,1136.5127,1142.0,-55.8517,284317526209.0,226394580613183.0,1.93764740863417e+17,0.55362,0.59787,0.63262,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-v_Ant_d,v,Ant,d,1021376.0,4438.6168,1661.0673,1687.0,86.3883,1003390191420.0,1208288071987660.0,1.54799650122816e+18,0.58753,0.62692,0.6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-v_Ant_g,v,Ant,g,1030281.0,4454.9356,1673.6206,1708.0,81.0711,1045251625336.0,1275516283107970.0,1.65532789243161e+18,0.58972,0.62867,0.65917,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-v_Post_d,v,Post,d,714193.0,3621.0075,1136.7502,1146.0,-58.5048,287625051067.0,229567521332103.0,1.96907808605019e+17,0.55376,0.5977399999999999,0.63231,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0070-v_Post_g,v,Post,g,704406.0,3512.9659,1105.121,1077.0,-11.9096,250033884387.0,189679307246481.0,1.54721194736851e+17,0.55319,0.59958,0.63565,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-d_Ant_d,d,Ant,d,986397.0,4431.3376,1656.4143,1689.0,89.335,982228149083.0,1187616927994700.0,1.52683211711563e+18,0.5908100000000001,0.6298600000000001,0.6604,776.0493,837.0,-32.1553,178819681475.0,96891435874783.0,5.68389176670635e+16,0.50869,0.55125,0.58536,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-d_Ant_g,d,Ant,g,991591.0,4442.3254,1656.9392,1702.0,69.0483,1004252015250.0,1222036250114870.0,1.58106133415399e+18,0.59128,0.62993,0.66023,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-d_Post_d,d,Post,d,662485.0,3400.7232,1072.9342,1076.0,-16.2668,234599261974.0,175612337155342.0,1.41116648828481e+17,0.55305,0.59701,0.63138,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-d_Post_g,d,Post,g,636104.0,3579.5933,1060.8214,1065.0,-27.1561,231679083176.0,174496298877216.0,1.41020460233657e+17,0.56667,0.6101,0.6443,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-v_Ant_d,v,Ant,d,997204.0,4443.6635,1662.184,1705.0,115.7293,1015379595091.0,1239081952125320.0,1.60768577954524e+18,0.59183,0.63054,0.66089,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-v_Ant_g,v,Ant,g,988312.0,4442.8351,1658.7803,1691.0,59.9715,985365758928.0,1192512762400990.0,1.53464805530857e+18,0.59048,0.62957,0.66014,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-v_Post_d,v,Post,d,641484.0,3608.304,1062.1159,1066.0,-0.026947000000000002,234381478596.0,176779561598564.0,1.43066798308765e+17,0.56704,0.61046,0.64466,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0071-v_Post_g,v,Post,g,664645.0,3427.042,1072.9314,1075.0,-12.4867,235615756106.0,176456752630664.0,1.4187849436735e+17,0.55386,0.59787,0.6323,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-d_Ant_d,d,Ant,d,927969.0,4437.3721,1620.2566,1658.0,50.6092,878470781515.0,1036818167204330.0,1.30177954153898e+18,0.58683,0.62585,0.6564,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-d_Ant_g,d,Ant,g,940806.0,4506.8939,1625.9853,1697.0,60.4904,954862208519.0,1156018667492670.0,1.48693734137297e+18,0.5936600000000001,0.63116,0.66072,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0072-d_Post_d,d,Post,d,645506.0,3401.0004,1091.5115,1073.0,-45.31399999999999,235781837159.0,179316247486243.0,1.46254986434122e+17,0.56326,0.6081,0.64299,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
